Location,School Name,Type,Latitude,Longitude,Better Education Score
Western Australia,ST MARK'S ANGLICAN COMMUNITY SCHOOL,Primary,-31.79848743,115.7428728,95
Western Australia,ST MARK'S ANGLICAN COMMUNITY SCHOOL,Secondary,-31.79848743,115.7428728,96
Western Australia,KINGSTON PRIMARY SCHOOL,Primary,-33.25919616,115.7435708,74
Western Australia,LANCE HOLT SCHOOL,Primary,-32.05462906,115.7441495,96
Western Australia,ASSUMPTION CATHOLIC PRIMARY SCHOOL,Primary,-32.50994328,115.7464321,80
Western Australia,SACRED HEART COLLEGE,Secondary,-31.82737166,115.74657,95
Western Australia,MULLALOO HEIGHTS PRIMARY SCHOOL,Primary,-31.77780982,115.7482262,89
Western Australia,ST PATRICK'S PRIMARY SCHOOL,Primary,-32.05135647,115.7486458,92
Western Australia,CURRAMBINE PRIMARY SCHOOL,Primary,-31.73364969,115.7491022,87
Western Australia,SPRINGFIELD PRIMARY SCHOOL,Primary,-31.79256944,115.7501819,88
Western Australia,ENDEAVOUR PRIMARY SCHOOL,Primary,-32.37037017,115.7507254,76
Western Australia,CHARTHOUSE PRIMARY SCHOOL,Primary,-32.31714699,115.7508427,75
Western Australia,GREENFIELDS PRIMARY SCHOOL,Primary,-32.53397367,115.7509389,77
Western Australia,POSEIDON PRIMARY SCHOOL,Primary,-31.76078924,115.7510996,82
Western Australia,THE BEEHIVE MONTESSORI SCHOOL INC,Primary,-32.01798492,115.7522159,97
Western Australia,HILLARYS PRIMARY SCHOOL,Primary,-31.81329166,115.7525641,95
Western Australia,FREDERICK IRWIN ANGLICAN SCHOOL,Primary,-32.50869435,115.7530802,88
Western Australia,FREDERICK IRWIN ANGLICAN SCHOOL,Secondary,-32.50869435,115.7530802,98
Western Australia,CHRISTIAN BROTHERS' COLLEGE,Secondary,-32.05178739,115.7533646,94
Western Australia,FREMANTLE PRIMARY SCHOOL,Primary,-32.05883702,115.7535353,95
Western Australia,KOLBE CATHOLIC COLLEGE,Secondary,-32.27997384,115.7539727,92
Western Australia,LIVING Western AustraliaTERS LUTHERAN COLLEGE,Primary,-32.34307717,115.7544169,84
Western Australia,OUR LADY OF LOURDES SCHOOL,Primary,-33.39717192,115.7545955,89
Western Australia,Western AustraliaRNBRO PRIMARY SCHOOL,Primary,-32.33517258,115.7546455,70
Western Australia,COOLOONGUP PRIMARY SCHOOL,Primary,-32.29797619,115.7552819,70
Western Australia,PORT KENNEDY PRIMARY SCHOOL,Primary,-32.3585289,115.7554224,78
Western Australia,ST BERNADETTE'S CATHOLIC PRIMARY SCHOOL,Primary,-32.36083888,115.7561402,87
Western Australia,JOHN CURTIN COLLEGE OF THE ARTS,Secondary,-32.04863279,115.7562238,98
Western Australia,JOHN TONKIN COLLEGE,Secondary,-32.51758689,115.756358,81
Western Australia,OAKWOOD PRIMARY SCHOOL,Primary,-32.484084,115.756407,79
Western Australia,NORTH FREMANTLE PRIMARY SCHOOL,Primary,-32.03454903,115.7567953,91
Western Australia,BELDON PRIMARY SCHOOL,Primary,-31.7746556,115.7572522,82
Western Australia,CONNOLLY PRIMARY SCHOOL,Primary,-31.74715629,115.7572958,86
Western Australia,WHITFORD CATHOLIC PRIMARY SCHOOL,Primary,-31.78543296,115.7574269,92
Western Australia,MEADOW SPRINGS PRIMARY SCHOOL,Primary,-32.50105217,115.7574921,73
Western Australia,SOUTH COAST BAPTIST COLLEGE,Primary,-32.31535966,115.7575046,92
Western Australia,DARDANUP PRIMARY SCHOOL,Primary,-33.40089693,115.7575813,92
Western Australia,SINGLETON PRIMARY SCHOOL,Primary,-32.44002498,115.7579582,76
Western Australia,SECRET HARBOUR PRIMARY SCHOOL,Primary,-32.403582,115.758725,88
Western Australia,OUR LADY OF GRACE SCHOOL,Primary,-31.86356507,115.7588595,92
Western Australia,EAST FREMANTLE PRIMARY SCHOOL,Primary,-32.04789275,115.7591484,98
Western Australia,BEACONSFIELD PRIMARY SCHOOL,Primary,-32.068989,115.7593864,93
Western Australia,PADBURY PRIMARY SCHOOL,Primary,-31.8058632,115.7594893,96
Western Australia,MARMION PRIMARY SCHOOL,Primary,-31.84418326,115.7594902,94
Western Australia,GOLDEN BAY PRIMARY SCHOOL,Primary,-32.42313769,115.7596842,74
