Location,School Name,Type,Latitude,Longitude,Score
Western Australia,IRENE MCCORMACK CATHOLIC COLLEGE,Secondary,-31.65406275,115.709449,1027
Western Australia,ALKIMOS BAPTIST COLLEGE,Primary,-31.66032819,115.7101785,1035
Western Australia,ALKIMOS BAPTIST COLLEGE,Secondary,-31.66032819,115.7101785,1035
Western Australia,QUINNS BAPTIST COLLEGE,Primary,-31.67618587,115.7101964,1062
Western Australia,QUINNS BAPTIST COLLEGE,Secondary,-31.67618587,115.7101964,1062
Western Australia,EAST BUTLER PRIMARY SCHOOL,Primary,-31.6437585,115.7117596,997
Western Australia,CLIFTON PARK PRIMARY SCHOOL,Primary,-33.30905652,115.7119826,996
Western Australia,MERRIWA PRIMARY SCHOOL,Primary,-31.66869847,115.7127243,929
Western Australia,SAFETY BAY PRIMARY SCHOOL,Primary,-32.29899323,115.7146933,1005
Western Australia,CLARKSON PRIMARY SCHOOL,Primary,-31.67754494,115.7183074,960
Western Australia,ST ANDREW'S CATHOLIC PRIMARY SCHOOL,Primary,-31.68720765,115.7218604,1035
Western Australia,ROCKINGHAM BEACH PRIMARY SCHOOL,Primary,-32.28213507,115.7219158,985
Western Australia,LESCHENAULT CATHOLIC PRIMARY SCHOOL,Primary,-33.28334496,115.7224856,1033
Western Australia,EATON COMMUNITY COLLEGE,Secondary,-33.3176055,115.7228908,947
Western Australia,MANDURAH PRIMARY SCHOOL,Primary,-32.52864487,115.7255254,919
Western Australia,GLEN HUON PRIMARY SCHOOL,Primary,-33.31523808,115.7261548,943
Western Australia,CLARKSON COMMUNITY HIGH SCHOOL,Secondary,-31.67744562,115.7267272,921
Western Australia,PARKFIELD PRIMARY SCHOOL,Primary,-33.265458,115.727042,997
Western Australia,AUSTRALIND PRIMARY SCHOOL,Primary,-33.28059897,115.7271368,957
Western Australia,SOMERLY PRIMARY SCHOOL,Primary,-31.68546051,115.7278576,983
Western Australia,AUSTRALIND SENIOR HIGH SCHOOL,Secondary,-33.27665965,115.7284365,977
Western Australia,BOYANUP PRIMARY SCHOOL,Primary,-33.48596223,115.7308445,937
Western Australia,STAR OF THE SEA PRIMARY SCHOOL,Primary,-32.28529599,115.7317146,1034
Western Australia,KINROSS COLLEGE,Secondary,-31.71789873,115.7325952,1033
Western Australia,DUDLEY PARK PRIMARY SCHOOL,Primary,-32.54121027,115.735351,912
Western Australia,BEAUMARIS PRIMARY SCHOOL,Primary,-31.74874488,115.7355529,1079
Western Australia,TREENDALE PRIMARY SCHOOL,Primary,-33.28194663,115.735559,1002
Western Australia,MULLALOO BEACH PRIMARY SCHOOL,Primary,-31.77654953,115.7366952,1070
Western Australia,ROCKINGHAM MONTESSORI SCHOOL,Primary,-32.27658489,115.736737,1061
Western Australia,ROCKINGHAM MONTESSORI SCHOOL,Secondary,-32.27658489,115.736737,1061
Western Australia,KINROSS PRIMARY SCHOOL,Primary,-31.71880258,115.7368105,1045
Western Australia,ST SIMON PETER CATHOLIC PRIMARY SCHOOL,Primary,-31.7521962,115.7376881,1083
Western Australia,BUNGAREE PRIMARY SCHOOL,Primary,-32.29110842,115.7378237,931
Western Australia,MANDURAH CATHOLIC COLLEGE,Primary,-32.54895945,115.738286,1040
Western Australia,MANDURAH CATHOLIC COLLEGE,Secondary,-32.54895945,115.738286,1040
Western Australia,FRANCIS JORDAN CATHOLIC SCHOOL,Primary,-31.73113849,115.7384265,1090
Western Australia,OCEAN REEF SENIOR HIGH SCHOOL,Secondary,-31.75879833,115.7389749,1052
Western Australia,NORTH MANDURAH PRIMARY SCHOOL,Primary,-32.51527461,115.7390197,931
Western Australia,OCEAN REEF PRIMARY SCHOOL,Primary,-31.76531973,115.7393848,1048
Western Australia,PRENDIVILLE CATHOLIC COLLEGE,Secondary,-31.75468355,115.7396844,1077
Western Australia,CHILD SIDE SCHOOL,Primary,-33.48598843,115.7411328,1083
Western Australia,CHILD SIDE SCHOOL,Secondary,-33.48598843,115.7411328,1083
Western Australia,ST MARK'S ANGLICAN COMMUNITY SCHOOL,Primary,-31.79848743,115.7428728,1119
Western Australia,ST MARK'S ANGLICAN COMMUNITY SCHOOL,Secondary,-31.79848743,115.7428728,1119
Western Australia,KINGSTON PRIMARY SCHOOL,Primary,-33.25919616,115.7435708,972
Western Australia,LANCE HOLT SCHOOL,Primary,-32.05462906,115.7441495,1158
Western Australia,ASSUMPTION CATHOLIC PRIMARY SCHOOL,Primary,-32.50994328,115.7464321,1027
Western Australia,SACRED HEART COLLEGE,Secondary,-31.82737166,115.74657,1109
Western Australia,MULLALOO HEIGHTS PRIMARY SCHOOL,Primary,-31.77780982,115.7482262,1068
Western Australia,ST PATRICK'S PRIMARY SCHOOL,Primary,-32.05135647,115.7486458,1084
Western Australia,CURRAMBINE PRIMARY SCHOOL,Primary,-31.73364969,115.7491022,1045
Western Australia,SPRINGFIELD PRIMARY SCHOOL,Primary,-31.79256944,115.7501819,1074
Western Australia,ENDEAVOUR PRIMARY SCHOOL,Primary,-32.37037017,115.7507254,985
Western Australia,CHARTHOUSE PRIMARY SCHOOL,Primary,-32.31714699,115.7508427,952
Western Australia,GREENFIELDS PRIMARY SCHOOL,Primary,-32.53397367,115.7509389,920
Western Australia,POSEIDON PRIMARY SCHOOL,Primary,-31.76078924,115.7510996,1036
Western Australia,THE BEEHIVE MONTESSORI SCHOOL INC,Primary,-32.01798492,115.7522159,1182
Western Australia,HILLARYS PRIMARY SCHOOL,Primary,-31.81329166,115.7525641,1103
Western Australia,FREDERICK IRWIN ANGLICAN SCHOOL,Primary,-32.50869435,115.7530802,1088
Western Australia,FREDERICK IRWIN ANGLICAN SCHOOL,Secondary,-32.50869435,115.7530802,1088
Western Australia,CHRISTIAN BROTHERS' COLLEGE,Secondary,-32.05178739,115.7533646,1089
Western Australia,FREMANTLE PRIMARY SCHOOL,Primary,-32.05883702,115.7535353,1125
Western Australia,KOLBE CATHOLIC COLLEGE,Secondary,-32.27997384,115.7539727,1046
Western Australia,LIVING WATERS LUTHERAN COLLEGE,Primary,-32.34307717,115.7544169,1039
Western Australia,OUR LADY OF LOURDES SCHOOL,Primary,-33.39717192,115.7545955,1055
Western Australia,WARNBRO PRIMARY SCHOOL,Primary,-32.33517258,115.7546455,923
Western Australia,COOLOONGUP PRIMARY SCHOOL,Primary,-32.29797619,115.7552819,915
Western Australia,PORT KENNEDY PRIMARY SCHOOL,Primary,-32.3585289,115.7554224,990
Western Australia,ST BERNADETTE'S CATHOLIC PRIMARY SCHOOL,Primary,-32.36083888,115.7561402,1040
Western Australia,JOHN CURTIN COLLEGE OF THE ARTS,Secondary,-32.04863279,115.7562238,1120
Western Australia,JOHN TONKIN COLLEGE,Secondary,-32.51758689,115.756358,980
Western Australia,OAKWOOD PRIMARY SCHOOL,Primary,-32.484084,115.756407,1004
Western Australia,NORTH FREMANTLE PRIMARY SCHOOL,Primary,-32.03454903,115.7567953,1092
Western Australia,BELDON PRIMARY SCHOOL,Primary,-31.7746556,115.7572522,1014
Western Australia,CONNOLLY PRIMARY SCHOOL,Primary,-31.74715629,115.7572958,1057
Western Australia,WHITFORD CATHOLIC PRIMARY SCHOOL,Primary,-31.78543296,115.7574269,1096
Western Australia,MEADOW SPRINGS PRIMARY SCHOOL,Primary,-32.50105217,115.7574921,976
Western Australia,SOUTH COAST BAPTIST COLLEGE,Primary,-32.31535966,115.7575046,1046
Western Australia,DARDANUP PRIMARY SCHOOL,Primary,-33.40089693,115.7575813,1029
Western Australia,SINGLETON PRIMARY SCHOOL,Primary,-32.44002498,115.7579582,995
Western Australia,SECRET HARBOUR PRIMARY SCHOOL,Primary,-32.403582,115.758725,1030
Western Australia,OUR LADY OF GRACE SCHOOL,Primary,-31.86356507,115.7588595,1116
Western Australia,EAST FREMANTLE PRIMARY SCHOOL,Primary,-32.04789275,115.7591484,1133
Western Australia,BEACONSFIELD PRIMARY SCHOOL,Primary,-32.068989,115.7593864,1097
Western Australia,PADBURY PRIMARY SCHOOL,Primary,-31.8058632,115.7594893,1070
Western Australia,MARMION PRIMARY SCHOOL,Primary,-31.84418326,115.7594902,1126
Western Australia,GOLDEN BAY PRIMARY SCHOOL,Primary,-32.42313769,115.7596842,971
Western Australia,CRAIGIE HEIGHTS PRIMARY SCHOOL,Primary,-31.79004304,115.7602644,1017
Western Australia,EAST WAIKIKI PRIMARY SCHOOL,Primary,-32.3040885,115.7605364,893
Western Australia,HEATHRIDGE PRIMARY SCHOOL,Primary,-31.76034748,115.7606344,1043
Western Australia,SORRENTO PRIMARY SCHOOL,Primary,-31.83148916,115.7608293,1114
Western Australia,NORTH BEACH PRIMARY SCHOOL,Primary,-31.85963391,115.7611061,1100
Western Australia,THREE SPRINGS PRIMARY SCHOOL,Primary,-29.53502154,115.7611349,937
Western Australia,COTTESLOE PRIMARY SCHOOL,Primary,-32.002516,115.761337,1147
Western Australia,LAKE JOONDALUP BAPTIST COLLEGE,Primary,-31.73747504,115.7614206,1105
Western Australia,LAKE JOONDALUP BAPTIST COLLEGE,Secondary,-31.73747504,115.7614206,1105
Western Australia,BAMBARA PRIMARY SCHOOL,Primary,-31.79830122,115.7614207,1059
Western Australia,JOONDALUP PRIMARY SCHOOL,Primary,-31.72399412,115.7615597,1019
Western Australia,WAIKIKI PRIMARY SCHOOL,Primary,-32.31926622,115.7621332,993
Western Australia,FOUNDATION CHRISTIAN COLLEGE,Primary,-32.52931617,115.7622888,1030
Western Australia,FOUNDATION CHRISTIAN COLLEGE,Secondary,-32.52931617,115.7622888,1030
Western Australia,HILLMAN PRIMARY SCHOOL,Primary,-32.28293177,115.762409,952
Western Australia,LAKELANDS PRIMARY SCHOOL,Primary,-32.47803782,115.7624628,988
Western Australia,MOSMAN PARK PRIMARY SCHOOL,Primary,-32.01149157,115.7629025,1147
Western Australia,COMET BAY COLLEGE,Secondary,-32.4158052,115.7629996,1013
Western Australia,KAPINARA PRIMARY SCHOOL,Primary,-31.92497253,115.7630083,1184
Western Australia,BELRIDGE SECONDARY COLLEGE,Secondary,-31.77038385,115.7631759,1015
Western Australia,SOUTH PADBURY PRIMARY SCHOOL,Primary,-31.81230095,115.7644063,1053
Western Australia,PRESBYTERIAN LADIES COLLEGE,Primary,-31.993592,115.764906,1111
Western Australia,PRESBYTERIAN LADIES COLLEGE,Secondary,-31.993592,115.764906,1111
Western Australia,WHITE GUM VALLEY PRIMARY SCHOOL,Primary,-32.05893654,115.764926,1099
Western Australia,CITY BEACH PRIMARY SCHOOL,Primary,-31.93538508,115.765126,1166
Western Australia,HOLY SPIRIT SCHOOL,Primary,-31.91694399,115.7652403,1163
Western Australia,KOORANA PRIMARY SCHOOL,Primary,-32.34292727,115.7653169,926
Western Australia,NORTH COTTESLOE PRIMARY SCHOOL,Primary,-31.98901491,115.7653421,1181
Western Australia,NANNUP DISTRICT HIGH SCHOOL,Secondary,-33.99015078,115.7655942,1006
Western Australia,ST MARY'S ANGLICAN GIRLS' SCHOOL,Primary,-31.87697112,115.766244,1158
Western Australia,ST MARY'S ANGLICAN GIRLS' SCHOOL,Secondary,-31.87697112,115.766244,1158
Western Australia,DEANMORE PRIMARY SCHOOL,Primary,-31.88323747,115.7666076,1119
Western Australia,ST JOHN'S SCHOOL,Primary,-31.89350925,115.7669125,1130
Western Australia,SCARBOROUGH PRIMARY SCHOOL,Primary,-31.89699135,115.7670648,1077
Western Australia,PADBURY CATHOLIC PRIMARY SCHOOL,Primary,-31.81657383,115.7671159,1119
Western Australia,DUNCRAIG SENIOR HIGH SCHOOL,Secondary,-31.82190527,115.767131,1073
Western Australia,RIVERSIDE PRIMARY SCHOOL,Primary,-32.5312506,115.7676587,942
Western Australia,IONA PRESENTATION COLLEGE,Primary,-32.00852636,115.7677349,1124
Western Australia,IONA PRESENTATION COLLEGE,Secondary,-32.00852636,115.7677349,1124
Western Australia,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,Primary,-32.005047,115.767812,1197
Western Australia,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,Secondary,-32.005047,115.767812,1197
Western Australia,ROCKINGHAM LAKES PRIMARY SCHOOL,Primary,-32.3575092,115.7680138,974
Western Australia,EDDYSTONE PRIMARY SCHOOL,Primary,-31.76706411,115.7690002,985
Western Australia,COMET BAY PRIMARY SCHOOL,Primary,-32.41132592,115.7694346,1014
Western Australia,RICHMOND PRIMARY SCHOOL,Primary,-32.03667364,115.7700352,1143
Western Australia,SWANBOURNE PRIMARY SCHOOL,Primary,-31.97300265,115.7703599,1145
Western Australia,WEMBLEY DOWNS PRIMARY SCHOOL,Primary,-31.91034618,115.7706072,1111
Western Australia,DUNCRAIG PRIMARY SCHOOL,Primary,-31.83197629,115.7707544,1094
Western Australia,WINTERFOLD PRIMARY SCHOOL,Primary,-32.07237013,115.7708899,1038
Western Australia,COOGEE PRIMARY SCHOOL,Primary,-32.12709335,115.7718242,1056
Western Australia,CARINE PRIMARY SCHOOL,Primary,-31.85137169,115.7725012,1137
Western Australia,CHRIST THE KING SCHOOL,Primary,-32.072343,115.773117,1063
Western Australia,SCOTCH COLLEGE,Primary,-31.98113329,115.7731945,1165
Western Australia,SCOTCH COLLEGE,Secondary,-31.98113329,115.7731945,1165
Western Australia,KERRY STREET COMMUNITY SCHOOL,Primary,-32.08253823,115.7737709,1043
Western Australia,POYNTER PRIMARY SCHOOL,Primary,-31.84204111,115.7743695,1126
Western Australia,FREMANTLE CHRISTIAN COLLEGE,Primary,-32.0843654,115.7751984,1028
Western Australia,FREMANTLE CHRISTIAN COLLEGE,Secondary,-32.0843654,115.7751984,1028
Western Australia,METHODIST LADIES' COLLEGE,Primary,-31.98701169,115.7755403,1150
Western Australia,METHODIST LADIES' COLLEGE,Secondary,-31.98701169,115.7755403,1150
Western Australia,CARINE SENIOR HIGH SCHOOL,Secondary,-31.85299735,115.775848,1088
Western Australia,KARRINYUP PRIMARY SCHOOL,Primary,-31.86967092,115.7762892,1122
Western Australia,MATER DEI COLLEGE,Secondary,-31.76466034,115.7765193,1055
Western Australia,CHRIST CHURCH GRAMMAR SCHOOL,Primary,-31.98546117,115.7769868,1180
Western Australia,CHRIST CHURCH GRAMMAR SCHOOL,Secondary,-31.98546117,115.7769868,1180
Western Australia,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,Primary,-31.8985,115.77762,1182
Western Australia,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,Secondary,-31.8985,115.77762,1182
Western Australia,DOUBLEVIEW PRIMARY SCHOOL,Primary,-31.89845085,115.7776617,1105
Western Australia,OUR LADY OF GOOD COUNSEL SCHOOL,Primary,-31.88071403,115.7778009,1099
Western Australia,PORT SCHOOL,Secondary,-32.08300587,115.7782714,936
Western Australia,PHOENIX PRIMARY SCHOOL,Primary,-32.09257757,115.7794442,1016
Western Australia,EDGEWATER PRIMARY SCHOOL,Primary,-31.76289339,115.7804131,1068
Western Australia,ST STEPHEN'S SCHOOL,Primary,-31.8192748,115.7806424,1118
Western Australia,ST STEPHEN'S SCHOOL,Secondary,-31.8192748,115.7806424,1118
Western Australia,NEWBOROUGH PRIMARY SCHOOL,Primary,-31.88428623,115.7810971,1077
Western Australia,GLENGARRY PRIMARY SCHOOL,Primary,-31.82816781,115.7820552,1104
Western Australia,FRESHWATER BAY PRIMARY SCHOOL,Primary,-31.98588984,115.7823097,1170
Western Australia,ST JEROME'S PRIMARY SCHOOL,Primary,-32.121502,115.782659,1046
Western Australia,MOUNT CLAREMONT PRIMARY SCHOOL,Primary,-31.96810951,115.7826727,1144
Western Australia,HALE SCHOOL,Primary,-31.91232249,115.7837828,1165
Western Australia,HALE SCHOOL,Secondary,-31.91232249,115.7837828,1165
Western Australia,HILTON PRIMARY SCHOOL,Primary,-32.06805492,115.7841355,1034
Western Australia,SPEARWOOD ALTERNATIVE SCHOOL,Primary,-32.10779115,115.7843999,1115
Western Australia,JOHN XXIII COLLEGE,Primary,-31.9599189,115.7847988,1170
Western Australia,JOHN XXIII COLLEGE,Secondary,-31.9599189,115.7847988,1170
